target,positive_count,prevalence,prior_loss,logistic_loss,improvement,winner
progesterone_receptor_agonist,119,0.0049970605526161085,0.031071327363241044,0.031914958304192345,-0.000843630940951301,prior
sodium_channel_inhibitor,267,0.011211892164273117,0.06061577110159578,0.06146875217909558,-0.0008529810774998009,prior
vitamin_d_receptor_agonist,39,0.00163769211388259,0.012014054261285632,0.012954010690817669,-0.0009399564295320371,prior
bacterial_dna_inhibitor,115,0.004829092130679433,0.030192117985824003,0.03143697391703989,-0.0012448559312158852,prior
acetylcholine_receptor_agonist,190,0.007978500041992105,0.04586307851318093,0.04733006005475602,-0.0014669815415750895,prior
immunosuppressant,73,0.0030654237003443353,0.02056248085637365,0.02203141501396647,-0.0014689341575928189,prior
tgf-beta_receptor_inhibitor,30,0.0012597631645250692,0.009571421942949155,0.011108729704955375,-0.0015373077620062202,prior
estrogen_receptor_agonist,158,0.006634752666498698,0.03936769784997529,0.04092286943965836,-0.0015551715896830673,prior
glutamate_receptor_antagonist,367,0.015411102712690014,0.078380388872848,0.08004284605509673,-0.001662457182248736,prior
histamine_receptor_antagonist,241,0.010120097421684723,0.05575588488262781,0.05744903078704907,-0.0016931459044212602,prior
serotonin_receptor_agonist,236,0.009910136894263878,0.05480803014196182,0.05651741644705861,-0.0017093863050967953,prior
mdm_inhibitor,31,0.0013017552700092382,0.009849339274461417,0.011584205658923524,-0.001734866384462106,prior
fgfr_inhibitor,50,0.002099605274208449,0.014878885833904247,0.016633403809265795,-0.0017545179753615473,prior
acetylcholine_receptor_antagonist,301,0.012639623750734862,0.06680962519842788,0.06857714304585662,-0.0017675178474287345,prior
gaba_receptor_antagonist,165,0.006928697404887881,0.040809896725308964,0.04265660494906844,-0.0018467082237594787,prior
bacterial_cell_wall_synthesis_inhibitor,192,0.008062484252960444,0.04626147913938795,0.04821886540783869,-0.001957386268450746,prior
gaba_receptor_agonist,106,0.004451163181321912,0.028193306779651976,0.030366508356743916,-0.00217320157709194,prior
bacterial_50s_ribosomal_subunit_inhibitor,80,0.003359368438733518,0.0222250157037362,0.02452476854476659,-0.00229975284103039,prior
chk_inhibitor,24,0.0010078105316200555,0.007884148157043728,0.010218600864147812,-0.0023344527071040844,prior
dihydrofolate_reductase_inhibitor,36,0.0015117157974300832,0.011211200825203665,0.013735586462653692,-0.0025243856374500273,prior
ribonucleoside_reductase_inhibitor,37,0.0015537079029142521,0.01148063356726649,0.014075654391632771,-0.002595020824366282,prior
opioid_receptor_antagonist,96,0.004031242126480222,0.025934020449911867,0.02853325008404215,-0.0025992296341302845,prior
