target,positive_count,valid_log_loss
fungal_squalene_epoxidase_inhibitor,23,0.015089023600948435
wnt_inhibitor,30,0.014915874522360494
nitric_oxide_donor,26,0.014284301489869854
hdac_inhibitor,106,0.013324810868309825
rna_polymerase_inhibitor,25,0.013289795666167335
casein_kinase_inhibitor,36,0.013012139961324902
p-glycoprotein_inhibitor,24,0.012423051404374613
antiviral,23,0.012146313251023395
alk_inhibitor,42,0.012091411660262612
sphingosine_receptor_agonist,25,0.011807047356186918
mineralocorticoid_receptor_antagonist,25,0.011661722108409413
fatty_acid_receptor_agonist,25,0.011596709654104531
dihydrofolate_reductase_inhibitor,36,0.011515848546284712
btk_inhibitor,29,0.011245552643924734
beta_amyloid_inhibitor,24,0.011049989788387268
acat_inhibitor,24,0.010961991821528079
pdk_inhibitor,18,0.010806601748075767
phospholipase_inhibitor,25,0.010558978471069264
free_radical_scavenger,18,0.010318807850205973
analgesic,12,0.010215894089464203
vitamin_b,26,0.010105701079899053
rho_associated_kinase_inhibitor,35,0.00990785497364821
retinoid_receptor_agonist,67,0.009873477404158143
bcr-abl_inhibitor,38,0.009674969464381246
hsp_inhibitor,93,0.009438972077093863
igf-1_inhibitor,37,0.009324694207942916
gamma_secretase_inhibitor,56,0.00923218089823477
dipeptidyl_peptidase_inhibitor,25,0.009193787460192648
thrombin_inhibitor,19,0.009175773215520213
caspase_activator,18,0.009093987600868415
cck_receptor_antagonist,18,0.008771197581576066
5-alpha_reductase_inhibitor,17,0.008558748235915934
11-beta-hsd1_inhibitor,18,0.008431673465884916
protein_tyrosine_kinase_inhibitor,19,0.008258675418025035
bcl_inhibitor,31,0.008136288637792354
lipase_inhibitor,12,0.007900529896757425
monoacylglycerol_lipase_inhibitor,12,0.007796050449176202
transient_receptor_potential_channel_antagonist,18,0.007650011362513617
catechol_o_methyltransferase_inhibitor,12,0.007410665050919063
atp-sensitive_potassium_channel_antagonist,1,0.007251475203635406
antimalarial,18,0.007235403202122494
histone_lysine_methyltransferase_inhibitor,32,0.007182447788293098
ras_gtpase_inhibitor,12,0.007119090511183876
monopolar_spindle_1_kinase_inhibitor,18,0.007112921902967271
ikk_inhibitor,30,0.0070325488448639995
anticonvulsant,12,0.006226438070922806
nrf2_activator,18,0.006226379328528871
raf_inhibitor,223,0.0061902062870763785
ampk_activator,12,0.006160875742300409
syk_inhibitor,19,0.0057877763389895965
leukotriene_inhibitor,6,0.005756177885478822
coagulation_factor_inhibitor,6,0.00570150185649301
antihistamine,12,0.005484531266080101
trpv_agonist,25,0.005431692106727945
progesterone_receptor_antagonist,18,0.005184190984284038
antifungal,13,0.004928214829858702
diuretic,6,0.0044855574605761755
mdm_inhibitor,31,0.004467544500307613
atr_kinase_inhibitor,19,0.0044014087780796145
tgf-beta_receptor_inhibitor,30,0.004318114722907251
glutamate_inhibitor,13,0.004280936243642642
elastase_inhibitor,6,0.004208761351234788
steroid,6,0.004188197896115923
norepinephrine_reuptake_inhibitor,7,0.0041845571381856185
vitamin_d_receptor_agonist,39,0.00409748353933611
gonadotropin_receptor_agonist,18,0.0040305373060769015
tlr_antagonist,7,0.0035721339746478246
atp_synthase_inhibitor,12,0.0031527218281681793
nicotinic_receptor_agonist,6,0.002642290880937151
calcineurin_inhibitor,6,0.002318709522615534
antiarrhythmic,6,0.002191915182665333
laxative,6,0.0020556654902019124
histone_lysine_demethylase_inhibitor,24,0.0019423244805164195
chk_inhibitor,24,0.0018467147497406955
focal_adhesion_kinase_inhibitor,18,0.0016884579263879678
autotaxin_inhibitor,6,0.0015311266703481885
atm_kinase_inhibitor,6,0.0015020021276321023
protein_phosphatase_inhibitor,6,0.001353261517685825
adenylyl_cyclase_activator,12,0.001293647566728543
lxr_agonist,6,0.0012559093216840075
retinoid_receptor_antagonist,6,0.001196547297777101
bacterial_membrane_integrity_inhibitor,7,0.0010658119693936993
farnesyltransferase_inhibitor,18,0.000986516163314334
nitric_oxide_production_inhibitor,12,0.0009381856484760487
proteasome_inhibitor,726,0.0008721268161612536
ubiquitin_specific_protease_inhibitor,6,0.000727846660780882
tropomyosin_receptor_kinase_inhibitor,6,0.0007008103501345887
aldehyde_dehydrogenase_inhibitor,7,0.0004236790316873449
erbb2_inhibitor,1,0.00038874795419658665
